id|name|category|price|description|image
1|African Solstice|herbal tea|9.99|A vibrant blend of African rooibos and exotic fruits|african_solstice.png
2|Apricot Amaretto|herbal tea|9.99|The warm, nutty essence of amaretto paired with ripe apricot|apricot_amaretto.png
3|Berry Harvest|black tea|10.99|A rich black tea blended with sweet and tart berries for a balanced flavor|berry_harvest.png
4|Black Currant|black tea|10.99|Deep and jammy, this tea brings the essence of ripe black currants into a bold black tea base|black_currant.png
5|Bombay Chai|black tea|10.99|A classic chai blend with robust black tea, warming spices, and a hint of sweetness|bombay_chai.png
6|Cape Orange Quince|herbal tea|9.99|A unique combination of bright citrus and mellow quince, delivering a refreshing and lightly tangy flavor|cape_orange_quince.png
7|Caramel Almond|black tea|10.99|Sweet caramel and toasted almond create a decadent, dessert-like blck tea|caramel_almond.png
8|Ceylon Gold|black tea|10.99|A bold and smooth black tea with bright citrus notes and a naturally brisk finish|ceylon_gold.png
9|Chamomile Citron|herbal tea|9.99|A calming blend of chamomile, lemongrass, and subtle cirtus notes|chamomile_citron.png
10|Citrus Mint|herbal tea|9.99|A vibrant mix of cool mint and zesty citrus|citrus_mint.png
11|Darjeeling Quince|black tea|10.99|The floral notes of Darjeeling tea meet the unique tartness of quince fruit|darjeeling_quince.png
12|Earl Grey|black tea|10.99|A timeless blend of fine black tea infused with fragrant bergamot oil|earl_grey.png
13|Echinacea, Ginger & Elderberry|green tea|8.99|A powerhouse of immune-boosting ingredients with a slightly spicy, berry-forward flavor|echinacea_ginger_elderberry.png
14|Elderflower Rose|herbal tea|9.99|A fragrant floral blend with delicate elderflower and sweet rose notes|elderflower_rose.png
15|Estate Darjeeling|black tea|10.99|A light, aromatic tea has a delicate muscatel flavor and floral notes|estate_darjeeling.png
16|Floral Rooibos|herbal tea|9.99|A smooth, naturally sweet rooibos tea infused with fragrant floral undertones|floral_rooibos.png
17|Genmaicha|green tea|8.99|A traditional Japanese blend of green tea and toasted rice, offering a nutty and savory profile.|genmaicha.png
18|Ginger Lemongrass|herbal tea|9.99|The spicy warmth of ginger paired with the fresh, citrusy flavor of lemongrass|ginger_lemongrass.png
19|Green Pomegranate|herbal tea|9.99|A bright and refreshing green tea with the tartness of pomegranate|green_pomegranate.png
20|Green Sweet Jasmine|green tea|8.99|Floral and decadent, this tea combines smooth chocolate with delicate rose petals|green_sweet_jasmine.png
21|Harvest Apple Spice|herbal tea|9.99|A cozy herbal blend of sweet apples, warm cinnamon, and a touch of clove|harvest_apple_spice.png
22|Hibiscus Blossom|herbal tea|9.99|A tangy, vibrant herbal tea with the bright, floral notes of hibiscus|hibiscus_blossom.png
23|Iced Blue Mint Nectar|herbal tea|9.99|A cooling blend of mint with a refreshing hint of blue tea flowers|iced_blue_mint_nectar.png
24|Iced Green Mango Peach|green tea|8.99|A fruity, chilled herbal tea with bold blueberry flavor and a touch of wine-like richness|iced_green_mango_peach.png
25|Lemon Lavender|herbal tea|9.99|A calming blend of lemon and lavender|lemon_lavender.png
26|Lemon Mint Chamomile|herbal tea|9.99|A soothing herbal blend that combines calming chamomile with refreshing mint and citrusy lemon.|lemon_mint_chamomile.png
27|Mango Citron|herbal tea|9.99|A lovely blend of tropical mango and citrus|mango_citron.png
28|Peach Blossom|white tea|12.99|A soft, floral peach tea with a naturally sweet finish|peach_blossom.png
29|Pomegranate Vanilla|herbal tea|9.99|A smooth blend of tangy pomegranate and creamy vanilla|pomegranate_vanilla.png
30|Raspberry Nectar|herbal tea|9.99|A vibrant, fruity tea with the sweet and tart flavor of ripe raspberries|raspberry_nectar.png
31|Sweet Vanilla Chai|black tea|10.99|A sweet and creamy black tea with cinnamon, cardamom, and vanilla|sweet_vanilla_chai.png
32|Turmeric Lemon|herbal tea|9.99|A zesty blend of turmeric and lemon, offering a bright and invigorating flavor|tumeric_lemon.png
33|White Silver Needle|white tea|12.99|A permium white tea with a gentle, sweet taste and a floral aroma|white_silver_needle.png
34|White Vanilla Apple|white tea|12.99|The perfect mix of creamy vanilla and crisp apple|white_vanilla_apple.png
35|Winter Chai|herbal tea|9.99|A warming blend of bold spices, including cinnamon, ginger, and cloves, with a hint of sweetness|winter_chai.png
